,Review,Rating
0,"Plataforma e aplicativo 1.000! Tem todos os assuntos das respectivas matérias que estudamos no ensino médio. Além disso, é ótimo para quem vai prestar vestibular. É possível estudar em qualquer lugar, a qualquer hora com o app. Parabéns a equipe! Sucesso.",5
1,"Tudo perfeito, as aulas, os professores, os métodos de cada um, o problema é um erro que fica dando &quot;opa, deu ruim, dá uma passada mais tarde&quot; o tempo todo, além da marca d'água do descomplica, que fica na frente de textos que estão no quadro às vezes",3
2,"O App cumpre as necessidades, mas falta dar a opção de colocar os videos baixados no cartão de memória.",3
3,lindo,5
4,Great,5
5,"O app é util, porem o celular tira muito o foco 😂",4
6,"Feedback horrível para com aqueles que descobriram a empresa através de patrocínio no futebol. Se apresenta postura de desprezo para com um parceiro comercial, imagina o que podem fazer com o cliente.",1
7,"O app é maravilhoso, mas no celular não está reproduzindo as aulas ao vivo, fica carregando para sempre, e as aulas ao vivo que já aconteceram também",4
8,Amo vocês,5
9,"Muito bom, mas senti falta dos exercícios que estão na versão web.",4
10,Fantástico,5
11,"Eu amo este curso, e o aplicativo é bem útil. Mas, eu acho que não só eu como a maioria das pessoas que baixam o App gostaria de acessar pelo menos os temas da redação.",3
12,The best option to prepare for ENEM exam and Brazilian Universities,5
13,"Plataforma Descomplica, MARAVILHOSA!!!!",5
14,Plataforma e equipe maravilhosas!,5
15,Ótima plataforma de estudo.,5
16,Aplicativo ótimo,5
17,Thanks! Descomplica 💜💜,5
18,Muito bom o APP.,5
19,Muuuito bom mesmo !!! Melhor aprendizado Ever !!,5
20,Muito bom,5
21,Very good,5
22,Muito top,5
23,Melhores professores da vida😍,5
24,"Gostaria que desse pra montar nosso plano de estudos e que nos desse lembretes, além de ter como resolver os exercícios no próprio aplicativo, como um jogo com ranking e tudo, e um espaço para fazer as redações no mesmo sem precisar ir no site. No mais, está me ajudando MUITO neste ano. ❤",4
25,Poderia ter a parte de enviar redação :(,5
26,Arrasando como sempre,5
27,"Cara , o app é daora , sou aluna de vcs. Seria interessante colocar um esquema de porcentagem pra gente saber como tá os downloads das aulas sabe , é bem ruim não poder ver isso . Coloca uma sessão de exercícios pra poder acessar no celular também ,às vezes a gente tá no ônibus ou fora de casa querendo fazer exercícios e não tem como. Fica aí a sugestão pra descomplicar um pedaço da nossa vida kk abraços!",4
28,"Maravilhoso!!! Com conteúdos incríveis, fácil acesso às matérias e sem falar das aulas mega divertidas , sempre te levando á pensar mais alto e buscar mais conhecimento.",5
29,"O conteúdo é maravilhoso, não tenho do que reclamar, embora o app deixe muito a desejar. É bastante confuso e faltam-lhe algumas opções que existem no site pelo computador.",2
30,Professores bem divertidos e bons. Mas o plano de estudo é muito bagunçado. Faltam muitas atividades também.,3
31,"Os cara são f*da, não assisti todas as aulas do plano por falta de tempo, mas estou gostando muito da experiência, e não tem um mito maior que o ODINHA de biologia, ainda vou dar um BEIJO nesse figurassa haha",5
32,"App maravilhoso, profs maravilhosos, ISSO É FAMÍLIA DESCOMPLICA!",5
33,"Simplesmente apaixonada ❤❤❤ obrigada, Descomplica!",5
34,Demaissdsss,5
35,"Ótimos professores, aulas incriveis e conforme a sua disponibilidade de horario ! Um ponto interessante é o  acesso ao conhecimento por um valor acessivel, obrigado pela iniciativa Descomplica ! A favor do conhecimento e sempre promovendo iniciativas para o bem e desenvolvimento.",5
36,Rubens oda eu escolhi te amar,5
37,Conteúdo de excelência !!,5
38,I love descomplica,5
