,Review,Rating
0,"[[('Plataforma', 'NOUN'), ('aplicativo', 'ADJ')], [('Tem', 'VERB'), ('assuntos', 'NOUN'), ('respectivas', 'ADJ'), ('matérias', 'NOUN'), ('estudamos', 'VERB'), ('ensino', 'NOUN'), ('médio', 'ADJ')], [('disso', 'NOUN'), ('é', 'VERB'), ('ótimo', 'ADJ'), ('vai', 'VERB'), ('prestar', 'VERB'), ('vestibular', 'NOUN')], [('É', 'VERB'), ('possível', 'ADJ'), ('estudar', 'VERB'), ('lugar', 'NOUN'), ('hora', 'NOUN')], [('Parabéns', 'NOUN'), ('equipe', 'NOUN')], [('Sucesso', 'NOUN')]]",5
1,"[[('perfeito', 'ADJ'), ('aulas', 'NOUN'), ('professores', 'NOUN'), ('métodos', 'NOUN'), ('problema', 'NOUN'), ('é', 'VERB'), ('erro', 'NOUN'), ('fica', 'VERB'), ('dando', 'VERB'), ('opa', 'NOUN'), ('deu', 'VERB'), ('ruim', 'ADJ'), ('dá', 'VERB'), ('passada', 'VERB'), ('tempo', 'NOUN'), ('marca', 'NOUN'), (""d'água"", 'NOUN'), ('descomplica', 'NOUN'), ('fica', 'VERB'), ('frente', 'NOUN'), ('textos', 'NOUN'), ('quadro', 'NOUN'), ('vezes', 'NOUN')]]",3
2,"[[('App', 'NOUN'), ('cumpre', 'VERB'), ('necessidades', 'NOUN'), ('falta', 'NOUN'), ('dar', 'VERB'), ('opção', 'NOUN'), ('colocar', 'VERB'), ('videos', 'NOUN'), ('baixados', 'VERB'), ('cartão', 'NOUN'), ('memória', 'NOUN')]]",3
3,[[]],5
4,"[[('Great', 'NOUN')]]",5
5,"[[('é', 'VERB'), ('util', 'NOUN'), ('porem', 'VERB'), ('celular', 'ADJ'), ('tira', 'VERB'), ('foco', 'NOUN'), ('😂', 'NOUN')]]",4
6,"[[('Feedback', 'NOUN'), ('horrível', 'ADJ'), ('descobriram', 'VERB'), ('empresa', 'NOUN'), ('patrocínio', 'NOUN'), ('futebol', 'NOUN')], [('apresenta', 'VERB'), ('postura', 'NOUN'), ('desprezo', 'NOUN'), ('parceiro', 'NOUN'), ('comercial', 'ADJ'), ('imagina', 'VERB'), ('podem', 'VERB'), ('fazer', 'VERB'), ('cliente', 'NOUN')]]",1
7,"[[('é', 'VERB'), ('maravilhoso', 'ADJ'), ('celular', 'ADJ'), ('aulas', 'NOUN'), ('vivo', 'ADJ'), ('fica', 'VERB'), ('aulas', 'NOUN'), ('vivo', 'ADJ'), ('aconteceram', 'VERB')]]",4
8,"[[('Amo', 'VERB')]]",5
9,"[[('bom', 'ADJ'), ('senti', 'VERB'), ('falta', 'NOUN'), ('exercícios', 'NOUN'), ('versão', 'NOUN'), ('web', 'NOUN')]]",4
10,"[[('Fantástico', 'ADJ')]]",5
11,"[[('amo', 'VERB'), ('curso', 'NOUN'), ('aplicativo', 'ADJ'), ('é', 'VERB'), ('útil', 'ADJ')], [('acho', 'VERB'), ('maioria', 'NOUN'), ('pessoas', 'NOUN'), ('baixam', 'VERB'), ('App', 'NOUN'), ('gostaria', 'VERB'), ('acessar', 'VERB'), ('temas', 'NOUN'), ('redação', 'NOUN')]]",3
12,"[[('The', 'NOUN'), ('best', 'NOUN'), ('option', 'NOUN'), ('to', 'NOUN'), ('prepare', 'NOUN'), ('ENEM', 'NOUN'), ('exam', 'NOUN'), ('Brazilian', 'NOUN'), ('Universities', 'NOUN')]]",5
13,"[[('Plataforma', 'NOUN'), ('Descomplica', 'NOUN'), ('MARAVILHOSA', 'NOUN')], []]",5
14,"[[('Plataforma', 'NOUN'), ('equipe', 'NOUN'), ('maravilhosas', 'NOUN')]]",5
15,"[[('Ótima', 'ADJ'), ('plataforma', 'NOUN'), ('estudo', 'NOUN')]]",5
16,"[[('Aplicativo', 'ADJ'), ('ótimo', 'ADJ')]]",5
17,"[[('Thanks', 'NOUN')], [('Descomplica', 'NOUN'), ('💜💜', 'NOUN')]]",5
18,"[[('bom', 'ADJ'), ('APP', 'NOUN')]]",5
19,"[[('Muuuito', 'NOUN'), ('bom', 'ADJ')], [('Melhor', 'ADJ'), ('aprendizado', 'VERB'), ('Ever', 'NOUN')], []]",5
20,"[[('bom', 'ADJ')]]",5
21,"[[('Very', 'NOUN'), ('good', 'NOUN')]]",5
22,"[[('top', 'ADJ')]]",5
23,"[[('Melhores', 'ADJ'), ('professores', 'NOUN'), ('vida😍', 'NOUN')]]",5
24,"[[('Gostaria', 'VERB'), ('desse', 'VERB'), ('montar', 'VERB'), ('plano', 'NOUN'), ('estudos', 'NOUN'), ('desse', 'VERB'), ('lembretes', 'NOUN'), ('ter', 'VERB'), ('resolver', 'VERB'), ('exercícios', 'NOUN'), ('aplicativo', 'ADJ'), ('jogo', 'NOUN'), ('ranking', 'NOUN'), ('espaço', 'NOUN'), ('fazer', 'VERB'), ('redações', 'NOUN'), ('precisar', 'VERB'), ('ir', 'VERB'), ('site', 'NOUN')], [('ajudando', 'VERB'), ('MUITO', 'NOUN'), ('ano', 'NOUN')], [('❤', 'NOUN')]]",4
25,"[[('Poderia', 'VERB'), ('ter', 'VERB'), ('parte', 'NOUN'), ('enviar', 'VERB'), ('redação', 'NOUN')]]",5
26,[[]],5
