,Review,Rating
0,Consegui acessar meu título com extrema facilidade,5
1,"Instalei em um final de semana e não funcionou ao procurar pelo meu cadastro, deu erro. Ao realizar novamente o meu cadastro em horário comercial e colocando os nomes dos meu pais, mesmo sem estes constarem no título, funcionou direitinho.",4
2,"não funciona, pode colocar dados com acento sem acento, colocar a barras ou não que não aparecem automaticamente quando digita a data, como qualquer software de duas décadas atrás já fazia, só mais dinheiro do povo jogado no lixo",1
3,Funciona perfeitamente!,5
4,"Se eu consulto meu título pelo site da justiça eleitoral consigo ver todos os meus dados e local de votação. Quando tento usar o app diz que o eleitor não foi encontrado. Visto que eu não sou o único reclamando sobre esse problema, já passou da hora de os desenvolvedores corrigirem isso.",1
5,"Funcionando perfeitamente no LG Q6+. Meus dados entraram normalmente, consegui visualizar os certificados. Muito bom e prático.",5
6,Eficiente e útil!,5
7,Quando vou logar só aparece um aviso mandando tentar novamente mais tarde. Não consegui acessar uma vez sequer. Horrível.,1
8,"Tenho que comparecer à uma Zona Eleitoral para mudar minha foto, mesmo não existindo foto no título?",4
9,"O voto deveria deixar de ser obrigatorio ou, pelo menos, votar pela net. Politicos corruptos deveriam ser excluidos e impedidos de se candidatarem.",3
10,"Preenchi todos os dados conforme o título (com identificação biométrica) e só aparece uma pop-up de &quot;Atenção&quot; porém sem nenhuma informação, apenas um botão de &quot;ok&quot;.",1
11,Funcionou perfeitamente!,5
12,"Só pra variar não funciona. Preenchi meus dados corretamente e ele apresentar um mensagem falando &quot;Atenção, tente mais tarde&quot; Isso já tem 3 dias. 😠😡",1
13,"Nunca consigo cadastrar meus dados, sempre pede para eu tentar depois. Estou tentando a 1 mês já.",1
14,O app não se integra com o meu cadastro biométrico realizado,1
15,"Horrivel, todas as vezes o app da a mensagem de que ocorreu um erro no sistema, até agora não consegui acessar minhas informações, pessimo app..",1
16,Não funciona. Diz que ocorreu um erro.,1
17,"Aplicativo muito útil para as votações, e agora com a liberação da ANAC para usar como identificação para o check-in em vôos, mais ainda.",5
18,A propaganda do governo é que quem fez a identificação biométrica faz o e-titulo com facilidade. Não é assim. O app é tosco. Para informar data de nascimento tem que digitar as barras.,2
19,Está informando que há erros no reconhecimento dos meus dados.,1
20,"Funcionou perfeitamente, parabéns! Que sigam esse mesmo caminho para todos os documentos.",5
21,"Tá me dando ódio já! Preencho meus dados corretamente, mas lá fala que o eleitor não foi encontrado. Não sei se é porque fiz o título recentemente, no dia 18/05/18... Espero uma solução, eu tava muito empolgado com o app, mas me decepcionei.",1
22,"App muito intuitivo, funcionou perfeitamente e com uma velocidade absurda.",5
23,Funcionou cmg,5
24,É interessante. Mas na Minha opinião deveria funcionar off-line.,3
25,Brazil lixo,1
