,Review,Rating
0,"[[('Consegui', 'VERB'), ('acessar', 'VERB'), ('título', 'NOUN'), ('extrema', 'ADJ'), ('facilidade', 'NOUN')]]",5
1,"[[('Instalei', 'NOUN'), ('final', 'NOUN'), ('semana', 'NOUN'), ('funcionou', 'VERB'), ('procurar', 'VERB'), ('cadastro', 'NOUN'), ('deu', 'VERB'), ('erro', 'NOUN')], [('realizar', 'VERB'), ('cadastro', 'NOUN'), ('horário', 'NOUN'), ('comercial', 'ADJ'), ('colocando', 'VERB'), ('nomes', 'NOUN'), ('pais', 'NOUN'), ('constarem', 'VERB'), ('título', 'NOUN'), ('funcionou', 'VERB'), ('direitinho', 'NOUN')]]",4
2,"[[('funciona', 'VERB'), ('pode', 'VERB'), ('colocar', 'VERB'), ('dados', 'NOUN'), ('acento', 'NOUN'), ('acento', 'NOUN'), ('colocar', 'VERB'), ('barras', 'NOUN'), ('aparecem', 'VERB'), ('digita', 'VERB'), ('data', 'NOUN'), ('software', 'NOUN'), ('décadas', 'NOUN'), ('fazia', 'VERB'), ('dinheiro', 'NOUN'), ('povo', 'NOUN'), ('jogado', 'VERB'), ('lixo', 'NOUN')]]",1
3,"[[('Funciona', 'VERB')]]",5
4,"[[('consulto', 'NOUN'), ('título', 'NOUN'), ('site', 'NOUN'), ('justiça', 'NOUN'), ('eleitoral', 'ADJ'), ('consigo', 'VERB'), ('ver', 'VERB'), ('dados', 'NOUN'), ('local', 'ADJ'), ('votação', 'NOUN')], [('tento', 'VERB'), ('usar', 'VERB'), ('diz', 'VERB'), ('eleitor', 'NOUN'), ('encontrado', 'VERB')], [('Visto', 'VERB'), ('único', 'ADJ'), ('reclamando', 'VERB'), ('problema', 'NOUN'), ('passou', 'VERB'), ('hora', 'NOUN'), ('desenvolvedores', 'NOUN'), ('corrigirem', 'VERB')]]",1
5,"[[('Funcionando', 'VERB'), ('LG', 'NOUN'), ('Q6+', 'NOUN')], [('dados', 'NOUN'), ('entraram', 'VERB'), ('consegui', 'VERB'), ('visualizar', 'VERB'), ('certificados', 'VERB')], [('bom', 'ADJ'), ('prático', 'ADJ')]]",5
6,"[[('útil', 'ADJ')]]",5
7,"[[('vou', 'VERB'), ('logar', 'VERB'), ('aparece', 'VERB'), ('aviso', 'NOUN'), ('tentar', 'VERB')], [('consegui', 'VERB'), ('acessar', 'VERB'), ('vez', 'NOUN')], [('Horrível', 'ADJ')]]",1
8,"[[('Tenho', 'VERB'), ('comparecer', 'VERB'), ('Zona', 'NOUN'), ('Eleitoral', 'NOUN'), ('mudar', 'VERB'), ('foto', 'NOUN'), ('existindo', 'VERB'), ('foto', 'NOUN'), ('título', 'NOUN')]]",4
9,"[[('voto', 'NOUN'), ('deveria', 'VERB'), ('deixar', 'VERB'), ('ser', 'VERB'), ('obrigatorio', 'NOUN'), ('votar', 'VERB'), ('net', 'NOUN')], [('Politicos', 'NOUN'), ('corruptos', 'NOUN'), ('deveriam', 'VERB'), ('ser', 'VERB'), ('excluidos', 'VERB'), ('impedidos', 'VERB'), ('candidatarem', 'VERB')]]",3
