,Review,Rating
0,Muito bom... o ruim que demora a atualizar a classificação. Mas é o melhor pra acompanhar o Brasileirão,5
1,Melhor app pra acompanhar o campeonato brasileiro,5
2,Estão esperando o quê pra atualizarem o escudo do Flamengo?,2
3,O gol do Atlético foi anulado. Por que os senhores antis desse website manteve o 1x0 por tanto tempo? Na boa. Isso decepcionou. Fui,2
4,O App caiu no meu conceito. Desde ontem não atualiza.,1
5,Top,5
6,Excelente APP! Muito bem feito e leve. Obrigatório pra quem curte futebol e quer acompanhar o Brasileirão!,5
7,O app é ótimo. Só não respeita as configurações de notificações. Já marquei pra não aparecer nada de notificações e continuo recebendo mais de 10 por dia.,3
8,Muito bom.,5
9,Bom,5
10,Very good application,5
11,Como faz pra tirar essa notificação que fica em cima do aplicativo?,5
12,Very good vai Corinthians,5
13,Great one,5
14,Great app,5
15,Melhor app do Brasileirão. Tô impressionada,5
16,Good,5
17,I liked about of app.,5
18,Só precisa colocar opção de simular os resultados pra gente ter uma noção de como pode ser a rodada se nosso time ganhar ou perder,5
19,"Bom app. Tem potencial para se tornar otimo. Minhas recomendações: -adicionar outras competições -sincronizar o horário da partida com o do celular -lance a lance com informações sobre os mesmos  -mostrar tempo de partida -mostrar % de aproveitamento do time na competição  -mostrar desempenho nos últimos 5 jogos (ex: 3 vitórias, 1 empate, 1 derrota = V E D V V)",3
20,Uso esse app desde sua primeira versão e houveram poucos problemas ao longo dos anos. Só falta mesmo ter a série C pro app ser completo.,4
21,Fraco. Horario DOS jogos nao é sincronizado com o GPS do celular. Jogos em andamento nao aprsentam tempo de partida,1
22,Very good,5
23,Great app!,5
24,It's very good!,5
25,Muito bom !,5
26,Melhor app! Mas.... Seria pedir demais uma versão que junte brasileirão e libertadores?,5
27,Um dos melhores apps. Mas poderia mostrar  o tempo real do jogo em curso.,5
28,"Mt bom,melhor app de futebol brasileiro",5
29,Very good,5
30,Very good app,5
31,Great app,4
32,"Atende as expectativas. Rápido, simples e objetivo",5
33,Falta saber quando um jogo está no &quot;intervalo&quot; e &quot;encerado&quot;...,4
34,"O app é bom, mas só pra quem tem paciência de receber mais phishing do que o whatsapp manda",3
35,Com a ultima atualização o app ficou bem melhor,5
36,Era bom depois da atualização ficou bem melhor. Recomendo.,5
37,Um dos melhores app do campeonato brasileiro que ja utilizei em meu telefone!!!,5
38,Ótimo aplicativo. Ótimo design. Parabéns,5
39,Yeah,5
40,"Ótimo app, só queria que tivesse informações de assistências dos gols nas informações dos jogos, e estatísticas como roubadas de bola. Seria perfeito pra ter tudo em um só app, pensando como jogador de cartola.",4
41,Great!!!,5
42,Very useful,4
43,Não mostra tempo de jogo e se ja acabou ou não!,1
44,Cool,4
45,Atualização.As vezes dá um delay na atualização e não mostra as infos dos gols das partidas.,4
46,Show.Excelente,5
47,Perfeito.Cumpre o que propõe,5
48,Zenfone 5Go..Ótimo. App,5
49,"Ótimo.Entrega o que promete, simples e objetivo.",5
50,Muito bom,5
51,Tooooooooooop.Muuuuito booommmmmmmmmmm,5
52,Muito bom.Cara nao  bug o celular otimo indico a todos,5
53,"Excelente..Atualiza rápido, interface funcional e prática. Parabéns!",5
54,Muito bom. Informacoes em tempo real.,5
55,Show.App muito bom,5
56,Muito bom,4
57,Otimo.Otimo,5
58,"Está ótimo.Falta muito pouco pra excelente. Sugiro melhorar a parte de notícias e incluir informações sobre o BID, por exemplo.",4
59,Bom.Simples e pratico.,5
60,Sports.Ok,3
61,"Ótimo.Muito bom, eu gostei mesmo Parabéns",4
62,Voce é  Curintianus??.Tabela nem atualizou 0 a 0 e SEU time ja somou 3 pontos o meu outro dia nem atualizou..shame shame on you brother Minglini kkkkk,1
63,"Melhor q o App do Sportv.Tabela, classificação, td atualizado, sem excesso de publicidade. Parabéns! 😉",5
64,"Parou de atualizar a classificação.Sempre funcionou bem usei por três anos,  mas do nada parou",1
65,Good.Very very good,5
66,So acho q as x demora muito a atualizacao dos dados.,3
67,"Excelente app, muito prático!",5
68,App muito bom e eficiente. Esse merece 5 estrelas,5
69,"Parabéns.App muito bom, trás informações dos jogos, parabéns!",5
70,Falta adicionar os canais de TV que irão transmitir os jogos.,4
71,AQUI E GALOOOOOO.DOIDOOO,5
72,"Muito bom..Leve, intuitivo e com as informações necessárias. E sem uma avalanche de advertisings. Parabéns.",5
73,Muito bom..,5
74,Bom.Interface muito boa,4
75,"Excelente!.Assertivo nas informações, interface perfeita! Finalmente um app 5 Stars.",5
76,Fantastico,5
77,"So falta colocar mais campeonatos.Muito bom mesmo o App. Se tivesse mais campeonatos, seria melhor ainda. ✌",4
78,Brasileirão Série B.Nice App.,5
79,Muito bom!!!.Facilita muito as coisas pra quem quer acompanhar o brasileirão!,5
80,🗝️.Bom dimaiss,5
81,Parabéns Gui.Show,5
82,Esse é bom mesmo. Atualização rápida das partidas e da classificação.,5
83,Muito bom!!! Gostei e muito fácil de usar...top,5
84,"App bom, mas precisa melhorar..A mim não interessa o que acontece na série B ou quando se iniciam os jogos desta divisão. O fato de um app, hoje em dia, não te dar a opção de escolher quais noticias quer receber já não ajuda muito, pior do que isso só se não tiver opção de ativar/desativar as notificações, como este app. Quando houver estas opções volto para dar 5 estrelas.",3
85,Top.Ainda mais porq fico vendo o vascu na 2 todo dia kkkk,5
86,"Muito bom.Acho que poderia incluir um status nas partidas: em andamento, intervalo, encerrada, etc...",5
87,Muito bom.Rolando redondinho,5
88,Ótima App.Funciona muito bem,5
89,Baum D+,5
90,Bom.Bastante informação,5
91,"Otimo, só faltou a opção de escolher seu clube do coração!!",5
92,Muito bom,4
93,App.Very much,5
94,"Muito bom, completão!",5
95,Good.Muito bom App,5
96,"Santa Cruz x Cruzeiro,  25/05.Cadê o resultado??",1
97,Excelente.Bem feito e fácil de utilizar.,5
98,"Excelente aplicativo.Parabens ao desenvolvedor, muito completo.",5
99,Brasileiro pro.Vai Corinthians!,4
