,Review,Rating
0,"[[('bom', 'ADJ'), ('ruim', 'ADJ'), ('atualizar', 'VERB'), ('classificação', 'NOUN')], [('é', 'VERB'), ('melhor', 'ADJ'), ('acompanhar', 'VERB'), ('Brasileirão', 'VERB')]]",5
1,"[[('Melhor', 'ADJ'), ('acompanhar', 'VERB'), ('campeonato', 'NOUN'), ('brasileiro', 'ADJ')]]",5
2,"[[('Estão', 'VERB'), ('esperando', 'VERB'), ('atualizarem', 'VERB'), ('escudo', 'NOUN'), ('Flamengo', 'NOUN')]]",2
3,"[[('gol', 'NOUN'), ('Atlético', 'NOUN'), ('anulado', 'VERB')], [('senhores', 'NOUN'), ('antis', 'ADJ'), ('desse', 'VERB'), ('website', 'NOUN'), ('manteve', 'VERB'), ('1x0', 'NOUN'), ('tempo', 'NOUN')], [('boa', 'ADJ')], [('decepcionou', 'VERB')], [('Fui', 'VERB')]]",2
4,"[[('App', 'NOUN'), ('caiu', 'VERB'), ('conceito', 'NOUN')], [('atualiza', 'VERB')]]",1
5,"[[('Top', 'NOUN')]]",5
6,"[[('APP', 'NOUN')], [('feito', 'VERB'), ('leve', 'VERB')], [('Obrigatório', 'NOUN'), ('curte', 'NOUN'), ('futebol', 'NOUN'), ('quer', 'VERB'), ('acompanhar', 'VERB'), ('Brasileirão', 'VERB')]]",5
7,"[[('é', 'VERB'), ('ótimo', 'ADJ')], [('respeita', 'VERB'), ('configurações', 'NOUN'), ('notificações', 'NOUN')], [('marquei', 'VERB'), ('aparecer', 'VERB'), ('notificações', 'NOUN'), ('continuo', 'VERB'), ('recebendo', 'VERB'), ('dia', 'NOUN')]]",3
8,"[[('bom', 'ADJ')]]",5
9,"[[('Bom', 'ADJ')]]",5
10,"[[('Very', 'NOUN'), ('good', 'NOUN'), ('application', 'NOUN')]]",5
11,"[[('faz', 'VERB'), ('tirar', 'VERB'), ('notificação', 'NOUN'), ('fica', 'VERB'), ('cima', 'NOUN'), ('aplicativo', 'ADJ')]]",5
12,"[[('Very', 'NOUN'), ('good', 'NOUN'), ('vai', 'VERB'), ('Corinthians', 'NOUN')]]",5
13,"[[('Great', 'NOUN'), ('one', 'NOUN')]]",5
14,"[[('Great', 'NOUN')]]",5
15,"[[('Melhor', 'ADJ'), ('Brasileirão', 'VERB')], [('Tô', 'NOUN'), ('impressionada', 'VERB')]]",5
16,"[[('Good', 'NOUN')]]",5
17,"[[('I', 'ADJ'), ('liked', 'NOUN'), ('about', 'NOUN'), ('of', 'NOUN')]]",5
18,"[[('precisa', 'VERB'), ('colocar', 'VERB'), ('opção', 'NOUN'), ('simular', 'VERB'), ('resultados', 'NOUN'), ('gente', 'NOUN'), ('ter', 'VERB'), ('noção', 'NOUN'), ('pode', 'VERB'), ('ser', 'VERB'), ('rodada', 'NOUN'), ('time', 'NOUN'), ('ganhar', 'VERB'), ('perder', 'VERB')]]",5
19,"[[('Bom', 'ADJ')], [('Tem', 'VERB'), ('potencial', 'ADJ'), ('tornar', 'VERB'), ('otimo', 'ADJ')], [('recomendações', 'NOUN'), ('-adicionar', 'VERB'), ('competições', 'NOUN'), ('-sincronizar', 'VERB'), ('horário', 'NOUN'), ('partida', 'NOUN'), ('celular', 'ADJ'), ('-lance', 'NOUN'), ('lance', 'VERB'), ('informações', 'NOUN'), ('-mostrar', 'VERB'), ('tempo', 'NOUN'), ('partida', 'NOUN'), ('-mostrar', 'VERB'), ('%', 'NOUN'), ('aproveitamento', 'NOUN'), ('time', 'NOUN'), ('competição', 'NOUN'), ('-mostrar', 'VERB'), ('desempenho', 'NOUN'), ('últimos', 'ADJ'), ('jogos', 'NOUN'), ('vitórias', 'NOUN'), ('empate', 'NOUN'), ('derrota', 'NOUN'), ('=', 'NOUN'), ('V', 'NOUN'), ('D', 'NOUN'), ('V', 'NOUN'), ('V', 'NOUN')]]",3
20,"[[('Uso', 'NOUN'), ('primeira', 'ADJ'), ('versão', 'NOUN'), ('problemas', 'NOUN'), ('longo', 'ADJ'), ('anos', 'NOUN')], [('falta', 'VERB'), ('ter', 'VERB'), ('série', 'NOUN'), ('C', 'NOUN'), ('pro', 'NOUN'), ('ser', 'VERB'), ('completo', 'ADJ')]]",4
21,"[[('Fraco', 'NOUN')], [('Horario', 'NOUN'), ('DOS', 'NOUN'), ('jogos', 'NOUN'), ('nao', 'NOUN'), ('é', 'VERB'), ('sincronizado', 'VERB'), ('GPS', 'NOUN'), ('celular', 'ADJ')], [('Jogos', 'NOUN'), ('andamento', 'NOUN'), ('nao', 'NOUN'), ('aprsentam', 'VERB'), ('tempo', 'NOUN'), ('partida', 'NOUN')]]",1
22,"[[('Very', 'NOUN'), ('good', 'NOUN')]]",5
23,"[[('Great', 'NOUN')]]",5
24,"[[('It', 'NOUN'), (""'s"", 'NOUN'), ('very', 'NOUN'), ('good', 'NOUN')]]",5
25,"[[('bom', 'ADJ')]]",5
26,"[[('Melhor', 'ADJ')], [('Seria', 'VERB'), ('pedir', 'VERB'), ('versão', 'NOUN'), ('brasileirão', 'VERB'), ('libertadores', 'NOUN')]]",5
27,"[[('melhores', 'ADJ'), ('apps', 'NOUN')], [('poderia', 'VERB'), ('mostrar', 'VERB'), ('tempo', 'NOUN'), ('real', 'ADJ'), ('jogo', 'NOUN'), ('curso', 'NOUN')]]",5
28,"[[('Mt', 'NOUN'), ('bom', 'ADJ'), ('melhor', 'ADJ'), ('futebol', 'NOUN'), ('brasileiro', 'ADJ')]]",5
29,"[[('Very', 'NOUN'), ('good', 'NOUN')]]",5
